,ADO,ARE,AFG,ATG,ALB,ARM,AGO,ARG,ASM,AUT,AUS,ABW,AZE,BIH,BRB,BGD,BEL,BFA,BGR,BHR,BDI,BEN,BMU,BRN,BOL,BRA,BHS,BTN,BWA,BLR,BLZ,CAN,ZAR,CAF,COG,CHE,CIV,CHL,CMR,CHN,COL,CRI,CHI,CUB,CPV,CUW,CYP,CZE,DEU,DJI,DNK,DMA,DOM,DZA,ECU,EST,EGY,ERI,ESP,ETH,FIN,FJI,FSM,FRO,FRA,GAB,GBR,GRD,GEO,GHA,GRL,GMB,GIN,GNQ,GRC,GTM,GUM,GNB,GUY,HKG,HND,HRV,HTI,HUN,IDN,IRL,ISR,IMY,IND,IRQ,IRN,ISL,ITA,JAM,JOR,JPN,KEN,KGZ,KHM,KIR,COM,KNA,PRK,KOR,KWT,CYM,KAZ,LAO,LBN,LCA,LIE,LKA,LBR,LSO,LTU,LUX,LVA,LBY,MAR,MCO,MDA,MNE,MAF,MDG,MHL,MKD,MLI,MMR,MNG,MNP,MRT,MLT,MUS,MDV,MWI,MEX,MYS,MOZ,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAN,PER,PYF,PNG,PHL,PAK,POL,PRI,PRT,PLW,PRY,QAT,ROM,SRB,RUS,RWA,SAU,SLB,SYC,SDN,SWE,SGP,SVN,SVK,SLE,SMR,SEN,SOM,SUR,SSD,STP,SLV,SXM,SYR,SWZ,TCA,TCD,TGO,THA,TJK,TMP,TKM,TUN,TON,TUR,TTO,TUV,TWN,TZA,UKR,UGA,USA,URY,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1970-01-01,3240.0,,159.0,,,,,1320.0,,2050.0,3300.0,,,,761.0,136.0,2780.0,81.5,,,70.2,115.0,3390.0,1380.0,241.0,441.0,3180.0,,139.0,,436.0,4120.0,244.0,103.0,206.0,,278.0,938.0,171.0,112.0,337.0,540.0,,653.0,,,,,2750.0,,3420.0,,328.0,331.0,475.0,,211.0,,1210.0,,2470.0,422.0,,,2870.0,550.0,2350.0,,,258.0,1500.0,117.0,,228.0,1500.0,352.0,,115.0,372.0,960.0,269.0,,,,84.7,1490.0,1810.0,,114.0,331.0,370.0,2610.0,2100.0,752.0,424.0,2000.0,142.0,,102.0,326.0,,363.0,,292.0,3830.0,,,,,,4240.0,184.0,228.0,66.6,,4480.0,,,247.0,12500.0,,,,169.0,,,62.9,,,,182.0,828.0,,,64.1,671.0,392.0,,,3200.0,147.0,224.0,324.0,2880.0,3310.0,74.9,,354.0,666.0,548.0,2300.0,265.0,187.0,169.0,,1850.0,934.0,,221.0,2760.0,,,,58.6,927.0,,344.0,151.0,4670.0,925.0,,,172.0,,243.0,91.8,664.0,,,303.0,,336.0,252.0,,129.0,120.0,192.0,,,,281.0,,491.0,869.0,,,,,133.0,5250.0,761.0,,204.0,1210.0,3480.0,,,,,811.0,427.0,362.0
1971-01-01,3500.0,,162.0,,,,,1370.0,,2380.0,3490.0,,,,851.0,129.0,3090.0,84.3,,,72.1,113.0,3870.0,1460.0,253.0,500.0,3300.0,,177.0,,474.0,4580.0,272.0,108.0,234.0,,289.0,1100.0,178.0,117.0,357.0,577.0,,780.0,,,,,3180.0,,3790.0,,358.0,336.0,444.0,,222.0,,1360.0,,2720.0,466.0,,,3180.0,635.0,2650.0,,,274.0,1880.0,121.0,,228.0,1660.0,357.0,,112.0,386.0,1110.0,264.0,,,,84.2,1700.0,1820.0,,121.0,377.0,449.0,3290.0,2300.0,812.0,431.0,2230.0,153.0,,135.0,341.0,,441.0,,317.0,4800.0,,,,,,4830.0,187.0,234.0,72.6,,4620.0,,,267.0,13800.0,,,,177.0,,,74.1,,,,192.0,874.0,,,78.3,717.0,404.0,,,3450.0,153.0,160.0,335.0,3320.0,3740.0,74.8,2770.0,402.0,730.0,595.0,2590.0,287.0,201.0,174.0,,2040.0,1060.0,,239.0,3250.0,,,,57.6,1190.0,301.0,401.0,160.0,5060.0,1070.0,,,162.0,,243.0,95.2,724.0,,,309.0,,392.0,297.0,,135.0,131.0,194.0,,,,324.0,,456.0,938.0,,,,,146.0,5620.0,996.0,,219.0,1300.0,3620.0,,,,,874.0,382.0,405.0
1972-01-01,4220.0,,137.0,,,,,1400.0,,2920.0,3940.0,,,,967.0,91.5,3850.0,99.3,,,69.6,135.0,4340.0,1910.0,284.0,581.0,3320.0,,223.0,,520.0,5130.0,292.0,121.0,289.0,,322.0,1160.0,201.0,130.0,387.0,648.0,,901.0,,,,,3800.0,,4600.0,,416.0,436.0,500.0,,231.0,,1710.0,,3180.0,583.0,,,3870.0,703.0,3030.0,,,233.0,2200.0,125.0,,238.0,1910.0,367.0,,122.0,388.0,1380.0,282.0,,,,96.7,2080.0,2280.0,,125.0,388.0,542.0,4060.0,2660.0,974.0,483.0,2920.0,174.0,,68.9,414.0,,518.0,,339.0,5130.0,,,,,,5640.0,199.0,246.0,75.3,,5720.0,,,304.0,16700.0,,,,193.0,,,82.6,,,,218.0,976.0,,,84.4,801.0,468.0,,,4030.0,159.0,209.0,344.0,4040.0,4410.0,84.9,3290.0,473.0,780.0,641.0,2750.0,333.0,211.0,149.0,,2250.0,1300.0,,267.0,3910.0,,,,61.9,1520.0,235.0,547.0,168.0,5940.0,1370.0,,,176.0,,285.0,119.0,772.0,,,321.0,,448.0,311.0,,153.0,149.0,209.0,,,,423.0,,560.0,1120.0,,,,,149.0,6110.0,776.0,,298.0,1390.0,4040.0,,,,,897.0,418.0,480.0
1973-01-01,5340.0,,145.0,,,,,2080.0,,3880.0,4760.0,,,,1170.0,116.0,4920.0,114.0,,,84.9,162.0,5010.0,2930.0,278.0,768.0,3700.0,,319.0,,606.0,5860.0,363.0,140.0,371.0,,417.0,1620.0,240.0,155.0,450.0,782.0,,1090.0,,,,,5030.0,,6070.0,,478.0,547.0,594.0,,248.0,,2250.0,,4180.0,769.0,,,4980.0,1160.0,3430.0,,,264.0,2860.0,153.0,,309.0,2510.0,437.0,,121.0,415.0,1890.0,312.0,,,,140.0,2420.0,2820.0,,146.0,469.0,831.0,5500.0,3200.0,974.0,558.0,3930.0,200.0,,93.9,681.0,,546.0,,426.0,5830.0,,,,,,7350.0,220.0,251.0,110.0,,7760.0,,,367.0,21400.0,,,,231.0,,,94.1,,,,266.0,1140.0,,,89.4,950.0,694.0,,,4220.0,197.0,252.0,415.0,5260.0,5690.0,78.9,4320.0,599.0,868.0,746.0,3520.0,490.0,258.0,98.4,,2430.0,1750.0,,333.0,5590.0,,,,70.9,2250.0,308.0,644.0,202.0,7200.0,1930.0,,,213.0,,318.0,144.0,826.0,,,357.0,,458.0,456.0,,166.0,176.0,270.0,,,,507.0,,688.0,1330.0,,,,,166.0,6740.0,1400.0,,323.0,1640.0,4190.0,,,,,1200.0,525.0,574.0
1974-01-01,6320.0,,176.0,,,,,2820.0,,4620.0,6470.0,,,,1390.0,176.0,5760.0,124.0,,,95.3,174.0,5850.0,6950.0,451.0,995.0,3420.0,,386.0,,786.0,7030.0,431.0,142.0,388.0,,487.0,1510.0,300.0,158.0,527.0,832.0,,1220.0,,,,,5620.0,,6720.0,,581.0,807.0,979.0,,228.0,,2760.0,,5300.0,988.0,,,5340.0,2430.0,3670.0,,,301.0,3430.0,190.0,,377.0,2840.0,524.0,,130.0,583.0,2170.0,343.0,,,,216.0,2510.0,3720.0,,167.0,1020.0,1390.0,7120.0,3610.0,1200.0,685.0,4280.0,229.0,,77.8,1800.0,,711.0,,589.0,13200.0,,,,,,8440.0,269.0,308.0,134.0,,9340.0,,,442.0,22700.0,,,,261.0,,,88.5,,,,321.0,1250.0,,,107.0,1200.0,840.0,,,4870.0,208.0,402.0,561.0,6330.0,6810.0,96.7,4610.0,1950.0,965.0,915.0,4390.0,537.0,343.0,133.0,,2610.0,2000.0,,438.0,15600.0,,,,73.0,6490.0,454.0,738.0,252.0,7980.0,2360.0,,,235.0,,348.0,128.0,1010.0,,,403.0,,706.0,527.0,,163.0,238.0,332.0,,,,645.0,,930.0,2050.0,,,,,199.0,7240.0,1450.0,,348.0,2360.0,4390.0,,,,,1480.0,607.0,667.0
1975-01-01,7170.0,27600.0,189.0,,,,,2010.0,,5270.0,6990.0,,,,1640.0,268.0,6730.0,153.0,,,114.0,207.0,6510.0,7270.0,504.0,1140.0,3160.0,,432.0,,886.0,7480.0,447.0,188.0,494.0,,589.0,693.0,356.0,176.0,546.0,956.0,,1380.0,,,976.0,,6210.0,,7950.0,,696.0,924.0,1120.0,,283.0,,3220.0,,6260.0,1190.0,,,6700.0,3330.0,4300.0,,,286.0,4260.0,221.0,,438.0,3160.0,589.0,,140.0,661.0,2250.0,362.0,,,,249.0,2970.0,3570.0,,161.0,1150.0,1490.0,6530.0,4090.0,1420.0,753.0,4580.0,242.0,,,1140.0,,754.0,,646.0,11500.0,,,,,,10500.0,281.0,355.0,130.0,,9070.0,,,506.0,28200.0,,,,301.0,,,134.0,,,,358.0,1560.0,,,116.0,1430.0,803.0,,,6160.0,207.0,437.0,565.0,7210.0,8200.0,122.0,4170.0,2380.0,1050.0,1080.0,5280.0,483.0,361.0,166.0,,2740.0,2130.0,,482.0,15300.0,,,,131.0,6340.0,386.0,802.0,298.0,9970.0,2560.0,,,241.0,,456.0,183.0,1280.0,,,445.0,,903.0,558.0,,211.0,256.0,352.0,,,,772.0,368.0,1140.0,2410.0,,,,,218.0,7820.0,1250.0,,348.0,2470.0,4250.0,,,,,1490.0,492.0,708.0
1976-01-01,7150.0,30800.0,200.0,,,,,1930.0,,5660.0,7470.0,,,,1770.0,136.0,7270.0,156.0,,,120.0,209.0,7260.0,8510.0,559.0,1380.0,3330.0,,435.0,,717.0,8770.0,410.0,219.0,472.0,,674.0,932.0,387.0,163.0,625.0,1150.0,,1440.0,,,1160.0,,6610.0,,8750.0,,746.0,1020.0,1280.0,,324.0,,3290.0,,6740.0,1180.0,,,6870.0,4550.0,4140.0,,,276.0,4840.0,209.0,,454.0,3400.0,687.0,,142.0,602.0,2850.0,421.0,,,,297.0,2920.0,3530.0,,164.0,1470.0,1880.0,7670.0,4020.0,1460.0,911.0,5110.0,248.0,,,831.0,,682.0,,875.0,11800.0,,,,,,11400.0,262.0,356.0,125.0,,9890.0,,,528.0,28800.0,,,,280.0,,,149.0,,,,383.0,1730.0,780.0,,122.0,1400.0,933.0,,,5960.0,204.0,555.0,637.0,7790.0,8930.0,110.0,4370.0,2760.0,1090.0,996.0,5430.0,523.0,403.0,190.0,,2950.0,2170.0,,536.0,18900.0,,,,142.0,8220.0,414.0,812.0,359.0,10700.0,2650.0,,,206.0,,450.0,190.0,1390.0,,,538.0,,976.0,511.0,,208.0,251.0,392.0,,,,785.0,337.0,1280.0,2440.0,,,,,220.0,8610.0,1290.0,,339.0,2750.0,4580.0,,,,,1400.0,534.0,678.0
1977-01-01,7750.0,34400.0,227.0,942.0,,,,2110.0,,6790.0,7760.0,,,,2000.0,127.0,8460.0,177.0,,,143.0,219.0,8370.0,9970.0,645.0,1550.0,3620.0,,508.0,,859.0,8880.0,509.0,241.0,465.0,,866.0,1250.0,411.0,183.0,775.0,1420.0,,1470.0,,,1480.0,,7650.0,,9760.0,495.0,845.0,1180.0,1510.0,,348.0,,3630.0,,7070.0,1200.0,,,7540.0,4150.0,4680.0,591.0,,313.0,5710.0,250.0,,472.0,3900.0,842.0,,144.0,590.0,3430.0,505.0,,,,357.0,3420.0,3810.0,,190.0,1590.0,2140.0,10100.0,4590.0,1580.0,1080.0,6230.0,309.0,,,766.0,,680.0,,1110.0,12000.0,,,,,,12400.0,294.0,390.0,160.0,,10900.0,,,595.0,31400.0,,,,294.0,,,164.0,,,,384.0,2040.0,898.0,,142.0,1250.0,1080.0,,,6160.0,241.0,534.0,749.0,9010.0,10300.0,103.0,4950.0,2800.0,1120.0,889.0,5710.0,553.0,450.0,209.0,,3210.0,2270.0,,648.0,19800.0,,,,161.0,9010.0,448.0,1050.0,434.0,11300.0,2880.0,,,234.0,,450.0,105.0,1770.0,,,666.0,,952.0,553.0,,220.0,309.0,445.0,,,,868.0,378.0,1430.0,3020.0,,,,,256.0,9470.0,1440.0,,374.0,3100.0,4970.0,,,,,1530.0,474.0,663.0
1978-01-01,9130.0,28700.0,250.0,1060.0,,,,2130.0,,8190.0,8240.0,,,,2230.0,170.0,10300.0,226.0,,,156.0,264.0,8880.0,10800.0,734.0,1730.0,4130.0,,639.0,,981.0,9080.0,616.0,283.0,518.0,,1040.0,1420.0,523.0,155.0,904.0,1590.0,,1840.0,,,1930.0,,9450.0,,11800.0,608.0,859.0,1440.0,1590.0,,345.0,,4340.0,,7630.0,1360.0,,,9280.0,3450.0,5980.0,758.0,,354.0,7240.0,303.0,,,4710.0,910.0,,153.0,659.0,3920.0,565.0,,,,391.0,4400.0,3690.0,,209.0,1850.0,2020.0,11400.0,5590.0,1270.0,1290.0,8680.0,352.0,,,872.0,,784.0,,1470.0,12500.0,,,,,,17500.0,193.0,404.0,215.0,,13600.0,,,696.0,38400.0,,,,323.0,,,188.0,,,,376.0,2560.0,1090.0,,162.0,1530.0,1260.0,,,6150.0,322.0,525.0,694.0,11000.0,11500.0,117.0,5940.0,2650.0,1300.0,739.0,7030.0,639.0,506.0,238.0,,3570.0,2460.0,,776.0,21100.0,,,,189.0,9200.0,516.0,1360.0,455.0,12400.0,3430.0,,,317.0,,490.0,107.0,2020.0,,,695.0,,1110.0,600.0,,257.0,320.0,529.0,,,,987.0,455.0,1550.0,3380.0,,,,,205.0,10600.0,1710.0,,472.0,3290.0,5340.0,,,,,1720.0,513.0,640.0
1979-01-01,11800.0,33700.0,279.0,1310.0,,,,2500.0,,9770.0,9270.0,,,,2700.0,194.0,11900.0,262.0,,,195.0,328.0,9610.0,15000.0,843.0,1890.0,5530.0,,853.0,,1070.0,10000.0,587.0,317.0,687.0,,1160.0,1880.0,670.0,183.0,1060.0,1770.0,,2000.0,,,2560.0,,11200.0,,13700.0,591.0,966.0,1760.0,1840.0,,413.0,,5750.0,,9340.0,1640.0,,,11200.0,4270.0,7800.0,884.0,,381.0,8480.0,354.0,,,5730.0,1010.0,,147.0,685.0,4570.0,639.0,,,,388.0,5420.0,4630.0,,228.0,2850.0,2300.0,12800.0,6970.0,1150.0,1560.0,8950.0,398.0,,,802.0,,918.0,,1860.0,19000.0,,,,,890.0,19800.0,232.0,445.0,228.0,,15800.0,,,817.0,45800.0,,,,407.0,,,241.0,,,,432.0,3200.0,1280.0,,175.0,1960.0,1600.0,,,7560.0,372.0,660.0,496.0,12600.0,13000.0,132.0,6670.0,3420.0,1450.0,920.0,8250.0,733.0,596.0,255.0,,4020.0,2760.0,,1010.0,27400.0,,,,223.0,12100.0,679.0,2000.0,455.0,14700.0,4080.0,,,357.0,,595.0,103.0,2150.0,,,756.0,,1150.0,704.0,,227.0,337.0,590.0,,,,1160.0,484.0,2080.0,4300.0,,,,,176.0,11700.0,2480.0,,547.0,3810.0,6320.0,,1060.0,,,2080.0,592.0,736.0
1980-01-01,12400.0,43000.0,276.0,1570.0,,,,2740.0,,10800.0,10200.0,,,,3460.0,220.0,12900.0,283.0,2260.0,8540.0,223.0,378.0,11200.0,25500.0,845.0,1930.0,6340.0,329.0,1060.0,,1350.0,11100.0,546.0,350.0,950.0,18800.0,1230.0,2460.0,755.0,193.0,1240.0,2060.0,,2020.0,472.0,,4230.0,,12100.0,,13800.0,785.0,1140.0,2170.0,2260.0,,510.0,,6200.0,,11200.0,1890.0,,,12700.0,5890.0,10000.0,939.0,,412.0,9480.0,399.0,,230.0,5920.0,1130.0,,135.0,776.0,5700.0,706.0,,,,536.0,6370.0,5620.0,,271.0,3910.0,2320.0,15000.0,8430.0,1260.0,1790.0,9310.0,447.0,,,512.0,394.0,1110.0,,1780.0,20900.0,,,,,1130.0,20700.0,273.0,452.0,330.0,,17200.0,,,1060.0,51500.0,,,,462.0,,,265.0,,,,462.0,3950.0,1180.0,275.0,198.0,2760.0,1800.0,290.0,2400.0,8440.0,430.0,871.0,660.0,13600.0,15800.0,135.0,7470.0,5180.0,1910.0,1020.0,8980.0,792.0,685.0,296.0,,4500.0,3370.0,,1280.0,35000.0,,,,244.0,16700.0,732.0,2290.0,398.0,16900.0,5000.0,,,346.0,,629.0,99.1,2170.0,,,767.0,,1460.0,898.0,,229.0,418.0,683.0,,,,1370.0,573.0,1570.0,5750.0,,,,,99.2,12600.0,3490.0,,600.0,4450.0,7500.0,,981.0,,,2920.0,664.0,916.0
1981-01-01,10400.0,45200.0,268.0,1780.0,,,,2760.0,,9360.0,11800.0,,,,3790.0,239.0,10700.0,254.0,2260.0,9270.0,229.0,338.0,13400.0,21900.0,1070.0,2120.0,6620.0,345.0,1040.0,,1310.0,12300.0,463.0,297.0,1080.0,17100.0,977.0,2870.0,830.0,196.0,1320.0,1090.0,,2040.0,458.0,,4030.0,,10200.0,,12000.0,879.0,1220.0,2210.0,2690.0,,509.0,,5360.0,203.0,10900.0,1900.0,,,11100.0,5190.0,9600.0,970.0,,380.0,8540.0,350.0,,158.0,5400.0,1200.0,,186.0,735.0,5990.0,752.0,,,,621.0,5980.0,5860.0,,275.0,2740.0,2400.0,15300.0,7600.0,1380.0,1930.0,10200.0,406.0,,,524.0,353.0,1320.0,,1970.0,17400.0,,,,,1270.0,19500.0,297.0,431.0,324.0,,14400.0,,,837.0,44400.0,,,,400.0,973.0,,218.0,,1330.0,,474.0,3900.0,1170.0,281.0,193.0,3480.0,1800.0,284.0,2180.0,6820.0,362.0,807.0,740.0,11300.0,15500.0,155.0,7810.0,5950.0,2120.0,1190.0,8190.0,756.0,732.0,340.0,,4920.0,3250.0,,1590.0,34900.0,,,,265.0,17600.0,785.0,2380.0,482.0,15400.0,5670.0,,,342.0,,555.0,112.0,2420.0,,,726.0,,1670.0,920.0,,190.0,342.0,721.0,,,,1290.0,666.0,1580.0,6210.0,,,,,103.0,14000.0,3760.0,,738.0,4860.0,8390.0,,833.0,,,3070.0,664.0,1060.0
1982-01-01,9610.0,40300.0,,2000.0,,,,2910.0,,9390.0,12800.0,,,,3950.0,213.0,9380.0,245.0,2220.0,9450.0,232.0,322.0,14200.0,20800.0,994.0,2210.0,7170.0,343.0,947.0,,1180.0,12400.0,492.0,310.0,1130.0,17400.0,840.0,2110.0,772.0,202.0,1380.0,1050.0,,2110.0,454.0,,4120.0,,9880.0,,11700.0,959.0,1310.0,2180.0,2400.0,,545.0,,5150.0,208.0,10900.0,1790.0,,,10500.0,4740.0,9150.0,1020.0,,351.0,7810.0,333.0,,177.0,5600.0,1180.0,,195.0,625.0,6130.0,751.0,,,,622.0,6150.0,6100.0,,279.0,2950.0,2890.0,13900.0,7530.0,1500.0,1980.0,9430.0,366.0,,,517.0,321.0,1400.0,,2080.0,14300.0,,,,,1190.0,19700.0,314.0,424.0,238.0,,13100.0,,,816.0,41400.0,,,,382.0,1050.0,,190.0,,1440.0,,462.0,3790.0,1090.0,290.0,180.0,2370.0,1880.0,284.0,2010.0,6210.0,327.0,661.0,714.0,10900.0,15200.0,159.0,7660.0,5860.0,2280.0,1170.0,8000.0,698.0,742.0,359.0,,5120.0,3080.0,,1490.0,27400.0,,,,257.0,13700.0,764.0,2250.0,452.0,13500.0,6000.0,,,389.0,,528.0,123.0,2490.0,,,707.0,,1700.0,841.0,,177.0,282.0,743.0,,,,1210.0,663.0,1400.0,7130.0,,,,,163.0,14400.0,3110.0,,836.0,4800.0,8160.0,,808.0,770.0,,2760.0,621.0,1080.0
1983-01-01,8020.0,35200.0,,2260.0,,,,3530.0,,9510.0,11500.0,,,,4170.0,197.0,8880.0,218.0,1900.0,9420.0,241.0,271.0,15900.0,18200.0,941.0,1560.0,7700.0,372.0,1060.0,,1210.0,13400.0,386.0,265.0,1070.0,17300.0,729.0,1690.0,756.0,224.0,1340.0,1560.0,,2230.0,436.0,,4090.0,,9830.0,,11800.0,1070.0,1380.0,2270.0,2010.0,,585.0,,4470.0,224.0,10500.0,1640.0,1320.0,,10000.0,4330.0,8690.0,1050.0,,341.0,7990.0,317.0,,163.0,5040.0,1200.0,,188.0,639.0,5600.0,771.0,,,,548.0,5910.0,6680.0,,297.0,2740.0,3360.0,11800.0,7810.0,1620.0,2000.0,10200.0,328.0,,,500.0,324.0,1400.0,,2270.0,13200.0,,,,,1260.0,19600.0,335.0,391.0,253.0,,12900.0,,,729.0,38900.0,,,,371.0,1200.0,,181.0,,1500.0,,472.0,3530.0,1090.0,338.0,182.0,1990.0,2060.0,249.0,2130.0,5540.0,284.0,445.0,780.0,10500.0,14900.0,159.0,7600.0,5830.0,2290.0,906.0,8070.0,734.0,645.0,324.0,,5220.0,2740.0,,1500.0,20900.0,,,,261.0,10900.0,708.0,2210.0,400.0,12400.0,6710.0,,,292.0,,458.0,118.0,2390.0,,,720.0,,1770.0,843.0,,172.0,253.0,798.0,,,,1210.0,649.0,1310.0,6850.0,,,,,163.0,15600.0,1720.0,,913.0,4780.0,8820.0,,886.0,706.0,,2890.0,516.0,947.0
1984-01-01,7730.0,32700.0,,2600.0,663.0,,,2650.0,,8970.0,12400.0,,,,4520.0,207.0,8490.0,194.0,1940.0,9590.0,213.0,252.0,17500.0,17400.0,1050.0,1570.0,8870.0,371.0,1080.0,,1320.0,13800.0,269.0,250.0,1090.0,16500.0,700.0,1610.0,775.0,249.0,1300.0,1750.0,,2400.0,406.0,,4260.0,,9280.0,,11500.0,1210.0,1620.0,2420.0,1930.0,,623.0,,4480.0,205.0,10800.0,1680.0,,,9430.0,4430.0,8180.0,1120.0,,358.0,7200.0,253.0,,171.0,4870.0,1220.0,,156.0,577.0,6210.0,807.0,,,,551.0,5690.0,6260.0,,282.0,3080.0,3350.0,12100.0,7720.0,1040.0,1950.0,10800.0,327.0,,,474.0,304.0,1660.0,,2470.0,13100.0,,,491.0,,1580.0,18600.0,387.0,392.0,211.0,,12600.0,,,646.0,36400.0,,,,303.0,1230.0,,180.0,,1120.0,,423.0,3330.0,1030.0,618.0,174.0,2300.0,2250.0,255.0,1760.0,5250.0,224.0,349.0,861.0,9810.0,15000.0,164.0,6710.0,6170.0,2340.0,898.0,8090.0,712.0,594.0,340.0,,5730.0,2520.0,,1130.0,19600.0,,,,270.0,9500.0,962.0,2260.0,459.0,12900.0,7160.0,,,311.0,,433.0,129.0,2320.0,,,742.0,,1700.0,727.0,,186.0,229.0,818.0,,,,1170.0,685.0,1250.0,6710.0,,,,,255.0,17100.0,1620.0,,998.0,3320.0,9120.0,,1070.0,686.0,,2790.0,410.0,745.0
1985-01-01,7780.0,30100.0,,3070.0,663.0,,736.0,2910.0,,9150.0,11400.0,,,,4710.0,236.0,8780.0,201.0,1960.0,8710.0,241.0,244.0,18300.0,15800.0,890.0,1640.0,9890.0,367.0,941.0,,1270.0,14000.0,240.0,330.0,1040.0,16600.0,687.0,1360.0,785.0,293.0,1160.0,1780.0,,2270.0,416.0,,4490.0,,9390.0,804.0,12200.0,1340.0,773.0,2540.0,1910.0,,689.0,,4690.0,233.0,11400.0,1600.0,,,9770.0,4040.0,8650.0,1280.0,,354.0,7760.0,308.0,,199.0,4830.0,1230.0,,158.0,603.0,6540.0,859.0,,,,538.0,6010.0,5700.0,,303.0,3100.0,3590.0,12500.0,7970.0,909.0,1890.0,11500.0,312.0,,,343.0,315.0,1860.0,,2540.0,12400.0,,,644.0,,1500.0,19400.0,377.0,387.0,169.0,,13000.0,,,636.0,37600.0,,,,286.0,1140.0,,177.0,,1140.0,,387.0,3320.0,1060.0,693.0,156.0,2370.0,2020.0,334.0,1410.0,5530.0,215.0,344.0,723.0,9760.0,15800.0,162.0,7600.0,6680.0,2420.0,825.0,8600.0,659.0,566.0,329.0,,6010.0,2710.0,,801.0,16600.0,,,,281.0,7830.0,858.0,2510.0,553.0,13500.0,6780.0,,,239.0,,460.0,144.0,2320.0,,,759.0,,1540.0,512.0,,203.0,234.0,748.0,,,,1160.0,639.0,1370.0,6300.0,,,,,240.0,18300.0,1570.0,,1080.0,3340.0,9260.0,239.0,951.0,597.0,,2140.0,329.0,636.0
1986-01-01,10400.0,23800.0,,3810.0,719.0,,715.0,3600.0,,13100.0,11400.0,,,,5150.0,226.0,12200.0,257.0,2260.0,7040.0,243.0,303.0,20500.0,10300.0,640.0,1930.0,10300.0,416.0,1140.0,,1340.0,14300.0,262.0,418.0,865.0,23700.0,869.0,1440.0,992.0,280.0,1140.0,1980.0,,2380.0,568.0,,5640.0,,13400.0,,17100.0,1530.0,918.0,2710.0,1670.0,,696.0,,6500.0,234.0,15000.0,1800.0,1280.0,,13600.0,4010.0,10600.0,1440.0,,437.0,11300.0,242.0,369.0,233.0,5680.0,892.0,,140.0,677.0,7440.0,872.0,,,,483.0,8100.0,6910.0,,317.0,2960.0,4020.0,16600.0,11300.0,1180.0,2330.0,16900.0,355.0,,,322.0,436.0,2260.0,,2910.0,9830.0,,,470.0,,1760.0,28300.0,397.0,381.0,194.0,,18900.0,,,815.0,52200.0,,,,317.0,1390.0,,223.0,,1470.0,,442.0,4190.0,1430.0,747.0,154.0,1630.0,1740.0,392.0,1520.0,7630.0,276.0,241.0,760.0,13600.0,18900.0,173.0,9430.0,4690.0,2460.0,743.0,12800.0,702.0,535.0,326.0,,6440.0,3860.0,,903.0,12700.0,,,,304.0,6250.0,756.0,3060.0,689.0,17700.0,6860.0,,,133.0,,631.0,153.0,2340.0,,,744.0,,1210.0,611.0,,204.0,315.0,813.0,,,,1200.0,724.0,1510.0,4050.0,,,,,258.0,19100.0,1940.0,,1220.0,3310.0,9720.0,437.0,892.0,629.0,,2480.0,236.0,676.0
1987-01-01,12600.0,24000.0,,4510.0,699.0,,697.0,3550.0,,16400.0,11600.0,,,,5650.0,247.0,15200.0,291.0,3170.0,7550.0,222.0,344.0,22400.0,11700.0,687.0,2070.0,11200.0,505.0,1560.0,,1590.0,16200.0,241.0,438.0,1050.0,29500.0,923.0,1670.0,1120.0,250.0,1160.0,2050.0,,2450.0,694.0,,6690.0,,16600.0,767.0,21300.0,1750.0,856.0,2760.0,1480.0,,768.0,,8230.0,242.0,18600.0,1630.0,1300.0,,16300.0,3760.0,13100.0,1680.0,,376.0,14600.0,274.0,381.0,274.0,6590.0,854.0,,183.0,480.0,9060.0,923.0,,,,449.0,9570.0,8120.0,,348.0,3470.0,2490.0,22700.0,14200.0,1400.0,2370.0,20400.0,377.0,,,363.0,513.0,2620.0,,3630.0,11700.0,,,279.0,,1850.0,37900.0,408.0,443.0,243.0,,23400.0,,,881.0,63000.0,,,,243.0,1490.0,,254.0,,1490.0,,488.0,5080.0,1820.0,719.0,145.0,1730.0,1930.0,176.0,1850.0,9270.0,315.0,273.0,993.0,16400.0,22500.0,175.0,12300.0,4820.0,2420.0,987.0,13800.0,813.0,579.0,329.0,,6940.0,4800.0,,964.0,12900.0,1660.0,,,320.0,5900.0,832.0,3650.0,867.0,21500.0,7790.0,,,185.0,,736.0,164.0,2530.0,,,771.0,,998.0,761.0,,215.0,360.0,936.0,,,698.0,1260.0,865.0,1700.0,4010.0,,,,1250.0,398.0,20100.0,2420.0,,1340.0,2480.0,10800.0,594.0,961.0,694.0,,3160.0,313.0,708.0
