,Continent,Name
GNQ,Africa,Equatorial Guinea
GRC,Europe,Greece
GTM,North America,Guatemala
GUM,Australia and Oceania,Guam
GNB,Africa,Guinea-Bissau
GUY,South America,Guyana
HKG,Asia,"Hong Kong SAR, China"
HND,North America,Honduras
HRV,Europe,Croatia
HTI,North America,Haiti
HUN,Europe,Hungary
IDN,Asia,Indonesia
IRL,Europe,Ireland
ISR,Asia,Israel
IMY,Europe,Isle of Man
IND,Asia,India
IRQ,Asia,Iraq
IRN,Asia,"Iran, Islamic Rep."
ISL,Europe,Iceland
ITA,Europe,Italy
JAM,North America,Jamaica
JOR,Asia,Jordan
JPN,Asia,Japan
KEN,Africa,Kenya
KGZ,Asia,Kyrgyz Republic
KHM,Asia,Cambodia
KIR,Australia and Oceania,Kiribati
COM,Africa,Comoros
KNA,North America,St. Kitts and Nevis
PRK,Asia,"Korea, Dem. Rep."
KOR,Asia,"Korea, Rep."
KWT,Asia,Kuwait
CYM,North America,Cayman Islands
KAZ,Asia,Kazakhstan
LAO,Asia,Lao PDR
LBN,Asia,Lebanon
LCA,North America,St. Lucia
LIE,Europe,Liechtenstein
LKA,Asia,Sri Lanka
LBR,Africa,Liberia
LSO,Africa,Lesotho
LTU,Europe,Lithuania
LUX,Europe,Luxembourg
LVA,Europe,Latvia
LBY,Africa,Libya
MAR,Africa,Morocco
MCO,Europe,Monaco
MDA,Europe,Moldova
MNE,Europe,Montenegro
MAF,North America,St. Martin (French part)
MDG,Africa,Madagascar
MHL,Australia and Oceania,Marshall Islands
MKD,Europe,"Macedonia, FYR"
MLI,Africa,Mali
MMR,Asia,Myanmar
MNG,Asia,Mongolia
MNP,Australia and Oceania,Northern Mariana Islands
MRT,Africa,Mauritania
MLT,Europe,Malta
MUS,Africa,Mauritius
MDV,Asia,Maldives
MWI,Africa,Malawi
MEX,North America,Mexico
MYS,Asia,Malaysia
MOZ,Africa,Mozambique
NAM,Africa,Namibia
NCL,Australia and Oceania,New Caledonia
NER,Africa,Niger
NGA,Africa,Nigeria
NIC,North America,Nicaragua
NLD,Europe,Netherlands
NOR,Europe,Norway
NPL,Asia,Nepal
NZL,Australia and Oceania,New Zealand
OMN,Asia,Oman
PAN,North America,Panama
PER,South America,Peru
PYF,Australia and Oceania,French Polynesia
PNG,Australia and Oceania,Papua New Guinea
PHL,Asia,Philippines
PAK,Asia,Pakistan
POL,Europe,Poland
PRI,North America,Puerto Rico
PRT,Europe,Portugal
PLW,Australia and Oceania,Palau
PRY,South America,Paraguay
QAT,Asia,Qatar
ROM,Europe,Romania
SRB,Europe,Serbia
RUS,Europe,Russian Federation
RWA,Africa,Rwanda
SAU,Asia,Saudi Arabia
SLB,Australia and Oceania,Solomon Islands
SYC,Africa,Seychelles
SDN,Africa,Sudan
SWE,Europe,Sweden
SGP,Asia,Singapore
SVN,Europe,Slovenia
SVK,Europe,Slovak Republic
SLE,Africa,Sierra Leone
SMR,Europe,San Marino
SEN,Africa,Senegal
SOM,Africa,Somalia
SUR,South America,Suriname
SSD,Africa,South Sudan
STP,Africa,Sao Tome and Principe
SLV,North America,El Salvador
SXM,North America,Sint Maarten (Dutch part)
SYR,Asia,Syrian Arab Republic
SWZ,Africa,Swaziland
TCA,North America,Turks and Caicos Islands
TCD,Africa,Chad
TGO,Africa,Togo
THA,Asia,Thailand
TJK,Asia,Tajikistan
TMP,Asia,Timor-Leste
TKM,Asia,Turkmenistan
TUN,Africa,Tunisia
TON,Australia and Oceania,Tonga
TUR,Europe,Turkey
TTO,North America,Trinidad and Tobago
TUV,Australia and Oceania,Tuvalu
TWN,Asia,"Taiwan, China"
TZA,Africa,Tanzania
UKR,Europe,Ukraine
UGA,Africa,Uganda
USA,North America,United States
URY,South America,Uruguay
UZB,Asia,Uzbekistan
VCT,North America,St. Vincent and the Grenadines
VEN,South America,"Venezuela, RB"
VIR,North America,Virgin Islands (U.S.)
VNM,Asia,Vietnam
VUT,Australia and Oceania,Vanuatu
WSM,Australia and Oceania,Samoa
YEM,Asia,"Yemen, Rep."
ZAF,Africa,South Africa
ZMB,Africa,Zambia
ZWE,Africa,Zimbabwe
